yorum,duygu
Bu film tam bir rezalet.,0
Yönetmen anlamsız bir iş çıkarmış.,0
Müzikler ve atmosfer hiç olmamış.,0
Görsel efektler kusursuz olmus.,1
Son zamanların en başarılı yapımı.,1
Bu film tam bir hayal kırıklığı.,0
İzlerken uyuyakaldım.,0
Bu film gerçekten efsane.,1
Senaryo anlamsız yazılmış.,0
Oyunculuklar muhteşem seviyedeydi.,1
Bu film tam bir rezalet.,0
Senaryo anlamsız yazılmış.,0
Son zamanların en başarısız yapımı.,0
Müzikler ve atmosfer hiç olmamış.,0
Son zamanların en başarısız yapımı.,0
Son zamanların en başarılı yapımı.,1
Oyunculuklar berbat seviyedeydi.,0
Görsel efektler kusursuz olmus.,1
Hayatımda izlediğim en iyi filmlerden biriydi.,1
"Zaman kaybı, yanından geçmeyin.",0
Oyunculuklar kusursuz seviyedeydi.,1
Yönetmen sıkıcı bir iş çıkarmış.,0
Bu film tam bir zaman kaybı.,0
Senaryo mantıksız yazılmış.,0
Bu film gerçekten olağanüstü.,1
Kesinlikle tavsiye ediyorum.,1
Yönetmen berbat bir iş çıkarmış.,0
Oyunculuklar muhteşem seviyedeydi.,1
Senaryo derin yazılmış.,1
Hayatımda izlediğim en iyi filmlerden biriydi.,1
Senaryo mantıksız yazılmış.,0
Yönetmen mükemmel bir iş çıkarmış.,1
Görsel efektler kusursuz olmus.,1
İzlerken büyülendim.,1
Son zamanların en başarısız yapımı.,0
Görsel efektler kusursuz olmus.,1
Yönetmen sıkıcı bir iş çıkarmış.,0
Kesinlikle herkese öneririm.,1
Bu film tam bir hayal kırıklığı.,0
Hayatımda izlediğim en iyi filmlerden biriydi.,1
Senaryo berbat yazılmış.,0
"Zaman kaybı, uzak durun.",0
Müzikler ve atmosfer çok iyi.,1
Oyunculuklar muhteşem seviyedeydi.,1
Görsel efektler kusursuz olmus.,1
Yönetmen efsane bir iş çıkarmış.,1
Senaryo sürükleyici yazılmış.,1
Senaryo sürükleyici yazılmış.,1
Yönetmen berbat bir iş çıkarmış.,0
İzlerken çok sıkıldım.,0
İzlerken büyülendim.,1
İzlerken uyuyakaldım.,0
İzlerken pişman oldum.,0
Son zamanların en başarılı yapımı.,1
Bu film gerçekten mükemmel.,1
İzlerken büyülendim.,1
Yönetmen harika bir iş çıkarmış.,1
Son zamanların en başarısız yapımı.,0
Yönetmen sıkıcı bir iş çıkarmış.,0
Görsel efektler kusursuz olmus.,1
Bu film tam bir rezalet.,0
İzlerken yarıda bıraktım.,0
Yönetmen mükemmel bir iş çıkarmış.,1
Yönetmen harika bir iş çıkarmış.,1
İzlerken çok keyif aldım.,1
Son zamanların en başarısız yapımı.,0
Kesinlikle herkese öneririm.,1
Görsel efektler çok amatörce olmus.,0
Senaryo çok iyi yazılmış.,1
Oyunculuklar kusursuz seviyedeydi.,1
"Zaman kaybı, yanından geçmeyin.",0
Müzikler ve atmosfer hiç olmamış.,0
İzlerken hayran kaldım.,1
İzlerken hayran kaldım.,1
Bu film tam bir fiyasko.,0
Hayatımda izlediğim en kötü filmlerden biriydi.,0
Görsel efektler kusursuz olmus.,1
İzlerken çok keyif aldım.,1
Oyunculuklar harika seviyedeydi.,1
Müzikler ve atmosfer akıcı.,1
Bu film tam bir fiyasko.,0
Oyunculuklar kusursuz seviyedeydi.,1
Son zamanların en başarılı yapımı.,1
Bu film gerçekten efsane.,1
Müzikler ve atmosfer akıcı.,1
Görsel efektler çok amatörce olmus.,0
Hayatımda izlediğim en iyi filmlerden biriydi.,1
Oyunculuklar muhteşem seviyedeydi.,1
Görsel efektler kusursuz olmus.,1
Oyunculuklar yapay seviyedeydi.,0
Son zamanların en başarısız yapımı.,0
Müzikler ve atmosfer hiç olmamış.,0
Yönetmen mükemmel bir iş çıkarmış.,1
Oyunculuklar çok kötü seviyedeydi.,0
Oyunculuklar etkileyici seviyedeydi.,1
Müzikler ve atmosfer hiç olmamış.,0
Senaryo sıkıcı yazılmış.,0
Görsel efektler çok amatörce olmus.,0
Yönetmen harika bir iş çıkarmış.,1
İzlerken çok keyif aldım.,1
Hayatımda izlediğim en kötü filmlerden biriydi.,0
Hayatımda izlediğim en kötü filmlerden biriydi.,0
Senaryo akıcı yazılmış.,1
İzlerken uyuyakaldım.,0
Oyunculuklar harika seviyedeydi.,1
Son zamanların en başarısız yapımı.,0
Son zamanların en başarılı yapımı.,1
Son zamanların en başarısız yapımı.,0
"Zaman kaybı, sakın izlemeyin.",0
Hayatımda izlediğim en iyi filmlerden biriydi.,1
Son zamanların en başarılı yapımı.,1
İzlerken uyuyakaldım.,0
Oyunculuklar muhteşem seviyedeydi.,1
Hayatımda izlediğim en kötü filmlerden biriydi.,0
İzlerken hayran kaldım.,1
Son zamanların en başarılı yapımı.,1
Senaryo sıkıcı yazılmış.,0
Senaryo mantıksız yazılmış.,0
Görsel efektler çok amatörce olmus.,0
Oyunculuklar yetersiz seviyedeydi.,0
Görsel efektler çok amatörce olmus.,0
Hayatımda izlediğim en iyi filmlerden biriydi.,1
Bu film tam bir zaman kaybı.,0
Görsel efektler çok amatörce olmus.,0
Bu film tam bir hayal kırıklığı.,0
Senaryo sürükleyici yazılmış.,1
Görsel efektler kusursuz olmus.,1
İzlerken çok keyif aldım.,1
"Zaman kaybı, tavsiye etmiyorum.",0
Oyunculuklar muhteşem seviyedeydi.,1
Senaryo sürükleyici yazılmış.,1
Bu film tam bir fiyasko.,0
Senaryo mantıksız yazılmış.,0
Oyunculuklar harika seviyedeydi.,1
Görsel efektler kusursuz olmus.,1
Görsel efektler kusursuz olmus.,1
Görsel efektler çok amatörce olmus.,0
Oyunculuklar çok kötü seviyedeydi.,0
Yönetmen berbat bir iş çıkarmış.,0
Senaryo berbat yazılmış.,0
Hayatımda izlediğim en iyi filmlerden biriydi.,1
Son zamanların en başarısız yapımı.,0
İzlerken hayran kaldım.,1
Senaryo sıkıcı yazılmış.,0
İzlerken çok sıkıldım.,0
Görsel efektler çok amatörce olmus.,0
Hayatımda izlediğim en iyi filmlerden biriydi.,1
Oyunculuklar yetersiz seviyedeydi.,0
Yönetmen efsane bir iş çıkarmış.,1
Oyunculuklar harika seviyedeydi.,1
Hayatımda izlediğim en kötü filmlerden biriydi.,0
Bu film gerçekten efsane.,1
Senaryo berbat yazılmış.,0
